source_id,ra,dec,parallax,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp
930822015518055808,127.52714090400372,48.476427732183716,80.62890039892001,20.72875,21.585167,19.04894,2.5362263
4894945708668731264,69.75363653878574,-23.88637247111139,80.7266330030694,19.54434,21.207972,17.936485,3.2714863
2681122098893985408,326.6718481188171,-0.1755173375144743,80.73788287850039,11.310232,12.912896,10.083201,2.8296947
2525276565243086080,15.240444011358932,-4.447094086447559,80.78778141194462,11.9678,13.556019,10.740207,2.815812
4540481374832743040,259.4321138774718,11.668137650695137,80.84072827903502,13.209166,15.328575,11.870116,3.458459
6637963425886794752,284.37739686311943,-55.99386891119545,81.01134738676308,8.643511,9.59133,7.6600075,1.9313221
6637963425890391552,284.37733049506585,-55.99312534030172,81.02054108827717,9.049827,10.079122,7.9937944,2.0853271
640862653425455360,145.26076749717325,22.022373130313945,81.02373382378475,12.699531,14.515632,11.41912,3.0965118
6471497502884511232,310.5788689173076,-52.70400747589355,81.02792076812638,8.24046,9.048485,7.3588605,1.6896243
6386280060329151616,358.3593934660763,-70.94461574811649,81.13615977267115,11.622757,13.255802,10.38935,2.8664522
4145132555890838784,270.0048284417198,-15.991307055710744,81.14618021342797,,,16.909328,
2853900872207888768,0.5466960564268589,27.07764869795461,81.17903537377352,5.5958757,5.911563,4.9825454,0.92901754
5185165891628969984,40.314644601412986,-4.538542485444145,81.19892749105797,12.250948,14.045924,10.976293,3.0696316
474987206435652608,58.29378718240847,62.56771136910784,81.20240265110372,10.43589,11.742816,9.304233,2.4385834
4996141155411983744,1.1557978626946337,-40.740825073227725,81.22261378370459,11.510122,13.08086,10.287362,2.793498
4698037645878876800,31.86632145778327,-66.56822612915273,81.27838265830503,10.575351,11.740776,9.50428,2.236496
818808375085298944,140.2306770799029,45.647598946239206,81.29383661875056,20.668266,21.171047,19.008919,2.1621284
1117132130541140736,135.72254605697339,68.06446038566975,81.36212634258685,11.359969,12.915134,10.145155,2.7699795
1097353325107339776,126.46147954966091,69.02796394356187,81.37306875080597,13.762117,15.973085,12.236307,3.7367783
263916742385357056,85.37807337010766,53.48750978876841,81.46439142947709,8.918802,9.964107,7.9013667,2.0627398
263916708025623680,85.33475293851619,53.478731438569575,81.4987133119068,5.9909477,6.41243,5.4026074,1.0098224
3763445409285757824,164.39272990821704,-7.522698907313,81.50828167584473,14.239208,14.391698,13.9645605,0.42713737
3569610404187997696,182.52307872637712,-15.074546825329556,81.57031791622742,10.742186,12.334189,9.510878,2.8233118
2863419584886542080,5.128239996638605,33.08128045387165,81.57206255154,13.935161,16.399508,12.537745,3.861762
4733113441195646592,54.73403875235281,-52.568615867333605,81.61040202560517,12.777951,14.614522,11.498851,3.1156712
4609689240889873280,270.6937243792945,37.512417837636434,81.73879260239123,13.079426,15.165963,11.746457,3.419506
1348028919540189056,259.9713259724025,41.710116980312826,81.73942443475299,10.346038,11.641499,9.217388,2.4241104
4039831777499368960,266.75356473629233,-37.69815287553137,81.76966152425646,20.037308,,,
3762231926405726720,160.7529993971504,-9.209721776944628,82.00054600006021,13.204992,15.328059,11.762878,3.5651808
5556620540565785600,96.19120978811503,-45.36352820069851,82.02476334752949,19.821495,21.504343,18.221071,3.2832718
1554433777791815808,197.54841703158766,47.752447720374036,82.03930970465137,12.802547,14.736861,11.493626,3.2432356
6579485487647973888,322.70477274528395,-40.71438758943439,82.09205385526184,11.778023,13.375048,10.548469,2.826579
2768048564768256512,3.958001989119532,13.557663185407279,82.19379738137908,11.399355,12.830511,10.227193,2.6033182
5640565607657897728,128.20875984158528,-31.497462976881874,82.20799300166873,6.168385,6.567158,5.5905,0.97665834
3407785622839603968,78.17726253072034,19.666725360748927,82.31042963149854,9.814525,11.001734,8.729942,2.2717915
4996141155411984128,1.149203206864745,-40.74178765539875,82.34660183411951,18.397774,21.390856,16.70431,4.6865463
4587614930058979584,279.8882509500303,29.870257114332887,82.35604225801755,15.074403,18.27166,13.588176,4.683484
5427791278545931264,138.56936193777068,-41.57480208152498,82.46035173961869,13.25048,15.263839,11.931782,3.332057
547381594623756416,47.771960037151786,73.76736018461561,82.66062029486508,13.015211,14.957096,11.711619,3.2454767
6592223158057230592,324.68746814954505,-33.66763894068804,82.67729471781536,11.286115,12.789559,10.079589,2.7099705
5808612830236138368,247.1198786603902,-70.08390985846162,82.86994368147813,4.7439675,5.039831,4.30314,0.736691
2070115588901082368,311.2697846821949,44.5002726683959,82.8902722674978,9.828687,11.005876,8.750727,2.255149
476809509515283712,63.076027344041044,64.73018080218111,82.90278034597667,12.211264,13.950018,10.946023,3.003995
4055579464064558592,266.6704915930946,-32.23412636909977,82.98044152775957,13.950101,16.359652,12.556264,3.8033876
4722111590409480064,49.45525439342999,-62.572432544470445,83.02397018243857,5.344616,5.674381,4.8397856,0.8345952
4722135642226902656,49.56622620807744,-62.5034842270098,83.06064664354982,5.0796084,5.3797417,4.594065,0.7856765
1341113541156480768,257.89598966788463,38.44254560681901,83.06866367689253,10.420489,11.85787,9.238903,2.618967
4508377078422114944,279.0809524821553,13.608565199505211,83.14400588522535,11.153768,12.751347,9.926403,2.8249435
3683687763520080384,190.41242708810614,-1.4490230625523142,83.19347753572258,3.4332993,3.5128007,2.9142544,0.59854627
5439029627401396096,146.491875412928,-32.89101863068049,83.24973178967333,12.407915,14.28802,11.102592,3.1854277
898506093171335424,112.9890898422161,36.21837685594759,83.37884709560089,9.601197,10.869434,8.410003,2.4594316
898506166187633280,112.98739022537632,36.22866483400494,83.3999781450608,10.505624,12.051916,9.2852955,2.7666206
